Rental flat Y/N,Postal Code,Address,Total units,1-room (units),2-room (units),3-room (units),Charities serving block,Demographic,Food needed,Frequency needed
N,650235,Blk 235 Bukit Batok East Avenue 5,,,,,THKMC (West),,,
N,600236,Blk 236 Jurong East Street 21,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
,310160,Blk 160 Lorong 1 Toa Payoh,176,0,176,0,Care Corner SAC @ Blk 158,,,
N,650240,Blk 240 Bukit Batok East Avenue 5,,,,,THKMC (West),,,
N,600240,Blk 240 Jurong East Street 21,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
N,650241,Blk 241 Bukit Batok East Avenue 5,,,,,THKMC (West),,,
N,650243,Blk 243 Bukit Batok East Avenue 5,,,,,THKMC (West),,,
,310161,Blk 161 Lorong 1 Toa Payoh,176,0,176,0,,,,
,310170,Blk 170 Lorong 1 Toa Payoh,308,308,0,0,Care Corner SAC / Apex Club of Singapore (Radin Mas),,,
N,600247,Blk 247 Jurong East Street 24,,,,,Loving Heart MSC (Yuhua),,,
N,600248,Blk 248 Jurong East Street 24,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
,320020,Blk 20 Jalan Tenteram,320,0,320,0,,,,
,320021,Blk 21 Jalan Tenteram,320,0,320,0,,,,
N,650250,Blk 250 Bukit Batok East Avenue 5,,,,,THKMC (West),,,
N,600251,Blk 251 Jurong East Street 24,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
N,600252,Blk 252 Jurong East Street 24,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
N,650256,Blk 256 Bukit Batok East Avenue 4,,,,,THKMC (West),,,
N,600256,Blk 256 Jurong East Street 24,,,,,Loving Heart MSC (Yuhua),,,
,320022,Blk 22 Jalan Tenteram,118,0,118,0,,,,
N,600257,Blk 257 Jurong East Street 24,,,,,"PA (Yuhua), Loving Heart MSC (Yuhua)",,,
,330031,Blk 31 Bendemeer Road,288,288,0,0,,,,
N,650260,Blk 260 Bukit Batok East Avenue 4,,,,,THKMC (West),,,
N,600262,Blk 262 Jurong East Street 24,,,,,Loving Heart MSC (Yuhua),,,
N,650263,Blk 263 Bukit Batok East Avenue 4,,,,,THKMC (West),,,
N,600263,Blk 263 Jurong East Street 24,,,,,Loving Heart MSC (Yuhua),,,
N,600264,Blk 264 Jurong East Street 24,,,,,Loving Heart MSC (Yuhua),,,
N,650269,Blk 269 Bukit Batok East Avenue 4,,,,,THKMC (West),,,
,330032,Blk 32 Bendemeer Road,276,276,0,0,,,,
,330033,Blk 33 Bendemeer Road,288,288,0,0,,,,
N,650271,Blk 271 Bukit Batok East Avenue 4,,,,,THKMC (West),,,
N,650272,Blk 272 Bukit Batok East Avenue 4,,,,,THKMC (West),,,
N,650285,Blk 285 Bukit Batok East Avenue 3,,,,,THKMC (West),,,
N,654288,Blk 288E Bukit Batok Street 25,,,,,THKMC (West),,,
,330061,Blk 61 Geylang Bahru,336,336,0,0,,,,
,330062,Blk 62 Geylang Bahru,336,336,0,0,,,,
N,656290,Blk 290E Bukit Batok Street 24,,,,,THKMC (West),,,
,370012,Blk 12 Merpati Road,119,0,119,0,,,,
,370013,Blk 13 Merpati Road,120,0,120,0,,,,
,370014,Blk 14 Merpati Road,120,0,120,0,,,,
,370037,Blk 37 Circuit Road,452,0,452,117,Free Food For All,,,
,370051,Blk 51 Circuit Road,100,84,16,0,THK Seniors Activity Centre @ MacPherson @ Blk 90,,,
,370052,Blk 52 Circuit Road,100,0,100,20,THK Seniors Activity Centre @ MacPherson @ Blk 90,,,
N,600301,Blk 301 Jurong East Street 32,,,,,Loving Heart MSC (Jurong),,,
N,600302,Blk 302 Jurong East Street 32,,,,,Loving Heart MSC (Jurong),,,
N,600303,Blk 303 Jurong East Street 32,,,,,Loving Heart MSC (Jurong),,,
N,600304,Blk 304 Jurong East Street 32,,,,,Loving Heart MSC (Jurong),,,
N,600307,Blk 307 Jurong East Street 32,,,,,Loving Heart MSC (Jurong),,,
N,600308,Blk 308 Jurong East Street 32,,,,,Loving Heart MSC (Jurong),,,
,370068,Blk 68 Circuit Road,100,0,100,20,THK Seniors Activity Centre @ MacPherson @ Blk 90,,,
,370070,Blk 70 Circuit Road,100,0,100,20,THK Seniors Activity Centre @ MacPherson @ Blk 90,,,
,370071,Blk 71 Circuit Road,84,0,84,16,THK Seniors Activity Centre @ MacPherson @ Blk 90,,,
,370072,Blk 72 Circuit Road,84,0,84,16,THK Seniors Activity Centre @ MacPherson @ Blk 90,,,
,370090,Blk 90 Pipit Road,274,274,0,0,THK Seniors Activity Centre @ MacPherson @ Blk 90,,,
N,600319,Blk 319 Jurong East Street 31,,,,,Loving Heart MSC (Yuhua),,,
N,600326,Blk 326 Jurong East Street 31,,,,,Loving Heart MSC (Yuhua),,,
N,600315,Blk 315 Jurong East Street 32,,,,,Loving Heart MSC (Jurong),,,
,370094,Blk 94 Pipit Road,220,220,0,0,THK Seniors Activity Centre @ MacPherson @ Blk 90,,,
,380019,Blk 19 Upper Boon Keng Road,360,0,360,0,,,,
,380055,Blk 55 Sims Drive,0,?,?,?,,,,
,380096,Blk 96 Aljunied Crescent,144,0,144,0,,,,
,380100,Blk 100 Aljunied Crescent,198,198,0,0,,,,
,380103,Blk 103 Aljunied Crescent,154,0,154,0,,,,
,390002,Blk 2 Dakota Close,0,?,?,?,,,,
N,600330,Blk 330 Jurong East Avenue 1,,,,,Loving Heart MSC (Jurong),,,
,390014,Blk 14 Old Airport Road,28,0,28,28,,,,
N,611337,Blk 337A Tah Ching Road,,,,,Loving Heart MSC (Jurong),,,
N,600341,Blk 341 Jurong East Avenue 1,,,,,Loving Heart MSC (Jurong),,,
,390022,Blk 22 Old Airport Road,28,0,28,28,,,,
,390052,Blk 52 Cassia Crescent,501,187,314,83,THK SAC @ Cassia Crescent,,,
,400001,Blk 1 Eunos Crescent,247,0,247,0,,,,
,400002,Blk 2 Eunos Crescent,247,0,247,0,,,,
,400012,Blk 12 Eunos Crescent,247,0,247,0,,,,
,440015,Blk 15 Marine Terrace,270,0,270,0,"Willing Hearts, Di Zang Lin, SG Food Rescue",,,
,440016,Blk 16 Marine Terrace,270,0,270,0,"Willing Hearts, Di Zang Lin, SG Food Rescue",,,
,440051,Blk 51 Marine Terrace,270,0,270,0,,,,
,440052,Blk 52 Marine Terrace,270,0,270,0,"Willing Hearts, Di Zang Lin",,,
,440053,Blk 53 Marine Terrace,270,0,270,0,,,,
,460012,Blk 12 Bedok South Avenue 2,308,308,0,0,"THK Bedok Radiance SAC, Workers Party & Food Bank",,,
,460013,Blk 13 Bedok South Road,234,0,234,0,Workers Party & Food Bank,,,
,460024,Blk 24 Chai Chee Road,264,264,0,0,"Willing Hearts, THKMC (East), CDL",,,
,460030,Blk 30 Chai Chee Avenue,216,216,0,0,,,,
,460038,Blk 38 Bedok South Road,176,176,0,0,,,,
,460101,Blk 101 Bedok North Avenue 4,168,168,0,0,,,,
,460106,Blk 106 Bedok North Avenue 4,168,168,0,0,,,,
,460113,Blk 113 Bedok North Street 2,168,168,0,0,,,,
,460114,Blk 114 Bedok North Street 2,168,168,0,0,,,,
,460514,Blk 514 Bedok North Avenue 2,144,0,144,0,"THKMC (East), THK SAC @ Kaki Bukit @ Blk 509B",,,
,460541,Blk 541 Bedok North Street 3,160,0,160,0,,,,
,460544,Blk 544 Bedok North Street 3,286,286,0,0,,,,
,460556,Blk 556 Bedok North Street 3,266,126,140,0,,,,
,460557,Blk 557 Bedok North Street 3,280,154,126,0,,,,
,461022,Blk 22 Chai Chee Road,264,264,0,0,"THKMC (East), CDL, Willing Hearts",,,
,461023,Blk 23 Chai Chee Road,264,264,0,0,"THKMC (East), CDL, Willing Hearts",,,
N,640423,Blk 423 Jurong West Avenue 1,,,,,Loving Heart MSC (Jurong),,,
N,640431,Blk 431 Jurong West Avenue 1,,,,,Loving Heart MSC (Jurong),,,
,461031,Blk 31 Chai Chee Avenue,216,216,0,0,,,,
,461038,Blk 38 Chai Chee Avenue,216,216,0,0,,,,
,461039,Blk 39 Chai Chee Avenue,216,216,0,0,,,,
N,640440,Blk 440 Jurong West Avenue 1,,,,,Loving Heart MSC (Jurong),,,
,511476,Blk 476A Pasir Ris Drive 6,220,176,44,0,,,,
,520204,Blk 204 Tampines Street 21,40,20,20,80,,,,
,520441,Blk 441 Tampines Street 43,40,25,15,0,,,,
,520442,Blk 442 Tampines Street 43,80,42,38,0,,,,
,520466,Blk 466 Tampines Street 44,80,42,38,0,,,,
,520471,Blk 471 Tampines Street 44,40,25,15,0,,,,
N,640456,Blk 456 Jurong West Street 41,,,,,Loving Heart MSC (Jurong),,,
,521208,Blk 208A Tampines Avenue 2,150,110,40,0,,,,
N,640463,Blk 463 Jurong West Street 41,,,,,Loving Heart MSC (Jurong),,,
,521872,Blk 872A Tampines Street 86,240,135,105,0,,,,
