Rental flat Y/N,Postal Code,Address,Total units,1-room (units),2-room (units),3-room (units),Charities serving block,Demographic,Food needed,Frequency needed
,760108,Blk 108 Yishun Ring Road,32,16,16,144,,,,
N,730851,Blk 851 Woodlands Street 83,,,,,Free Food For All,,,
,760162,Blk 162 Yishun Street 11,392,294,98,0,,,,
,760436,Blk 436 Yishun Avenue 11,176,110,66,0,,,,
,760438,Blk 438 Yishun Avenue 11,176,110,66,0,,,,
,761269,Blk 269A Yishun Street 22,238,98,140,0,,,,
,761510,Blk 510A Yishun Street 51,288,156,132,0,None,,,
,762269,Blk 269B Yishun Street 22,238,98,140,0,,,,
,762510,Blk 510B Yishun Street 51,288,156,132,0,None,,,
,791446,Blk 446A Jalan Kayu,294,189,105,0,,,,
,821121,Blk 121A Edgedale Plains,446,170,276,0,,,,
,821206,Blk 206A Punggol Place,375,285,90,0,COMNET SAC,,,
,821223,Blk 223A Sumang Lane,504,280,224,0,,,,
,821326,Blk 326A Sumang Walk,240,120,120,0,,,,
,821621,Blk 621A Edgefield Walk,256,208,48,0,,,,
,822326,Blk 326B Sumang Walk,190,95,95,0,,,,
,822621,Blk 621B Edgefield Walk,256,208,48,0,,,,
,wrong address,Blk 117 Boon Lay Drive,198,158,40,0,,,,
,wrong address,Blk 201A Bukit Batok Street 21,360,285,75,0,,,,
,wrong address,Blk 511 French Road,180,180,0,0,,,,
